product_id,gear_name,brand,categories,sub_categories,color,price,num_images,short_description,description
943836,BBR Motorsports Tall Handlebar Kit Kawasaki KLX110 / R / L / RL 2003-2022,BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Dirt/Dirt Parts/Dirt Handlebars & Controls (ALL),,179.95,1,"The most important upgrade you can make to your pitbike! Replace the stock ""low-rise"" steel handlebar with BBR's Premium Aluminum MX bar. BBR bars are about 2"" taller and 4"" wider with considerably less pullback to provide a much more upright and aggressive riding position. The BBR throttle allows you to run full sized MX grips. ","BBR Motorsports Tall Handlebar Kit Kawasaki KLx110 / KLX110R / KLX110L / KLX110R L The most important upgrade you can make to your pitbike! Replace the stock ""low-rise"" steel handlebar with BBR's Premium Aluminum MX bar. BBR bars are about 2"" taller and 4"" wider with considerably less pullback to provide a much more upright and aggressive riding position. The BBR throttle allows you to run full sized MX grips. Features: BBR Aluminum 7/8"" MX Handlebars with BBR bar pad Extended throttle cables and full sized throttle assembly Shorty style brake lever with extended brake cable Extended clutch cable included for use with L models BBR grips BBR kill button"
943841,Akrapovic Loop Keychain,Akrapovic,Vehicles & Parts / Vehicle Parts & Accessories,Accessories/Motorcycle Accessories,Red,22.46,1,,Akrapovic Loop Keychain Slip on your keys to this classic leather Akrapovic Loop Keychain. Features Akrapovic logo on front Silver finish hardware Dimensions: 110 x 20 mm
943843,Nelson Rigg Extreme ATV Cover,Nelson Rigg,,Brands/Nelson Rigg,,80.96,4,,Nelson Rigg Defender Extreme ATV Cover Keep your machine protected from the elements with this ultra durable cover from Nelson Rigg. Features: Innovative UltraMax durable polyester material offers industry leading UV resistance 100% waterproof with electronically taped seams Snug elastic hem and quick release belly strap secures cover to ATV Packed in multi-use compression bag for compact storage Dimensions: 95” L x 50” W x 48”H
943849,Zeta Pivot Lever Set Honda Grom / Monkey 2014-2022,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Braking,Parts/Motorcycle Parts/Handlebars & Controls,,112.46,1,"Zeta Pivot levers fold outward in the event of a crash to minimize the risk of lever damage. This unique design utilizes a torsion spring to return the lever to its ""home"" position after the lever deflects. This automatic return can save crucial seconds in a race. Just get back on your bike and go!","Zeta Pivot Lever Set Honda Grom / Monkey Zeta Pivot levers fold outward in the event of a crash to minimize the risk of lever damage. This unique design utilizes a torsion spring to return the lever to its ""home"" position after the lever deflects. This automatic return can save crucial seconds in a race. Just get back on your bike and go! Features: CNC machined aluminum Standard 4-finger length Lever restores position after crash Integrated reach adjustment Etched Zeta logo Anodized finish"
943850,EPI Rear Outboard CV Joint Kit Kawasaki Brute Force 650 / 750 4x4i 2005-2008,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Kawasaki Brute Force 650 / 750 4x4i EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943851,EPI Rear Outboard CV Joint Kit Yamaha Grizzly 660 2002,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Yamaha Grizzly 660 EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943852,EPI Rear Outboard CV Joint Kit Yamaha Grizzly 660 2003,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Yamaha Grizzly 660 EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Fitment: Fits 2003 Yamaha Grizzly 660 4x4 with ""68 LAC"" stamped on front outboard housing (joint still fits rear) Fits 2003 Yamaha Grizzly 660 4x4 with ""UJ 68"" on front outboard housing (joint still fits rear) On ""UJ 68"" models, CV joint kit fits both rear outboard and front outboard positions Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943853,EPI Rear Outboard CV Joint Kit Polaris Outlaw 500 / 525 IRS 2006-2011,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,69.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Polaris Outlaw 500 / 525 IRS EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943854,EPI Rear Outboard CV Joint Kit Yamaha Rhino 700 / Sport 2008-2013,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Yamaha Rhino 700 / Sport EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943855,EPI Rear Outboard CV Joint Kit Yamaha Grizzly 550 / 700 2007-2015,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Yamaha Grizzly 550 / 700 EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Fitment: On listed models, CV Joint Kits fit both front outboard and rear outboard positions Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles (and front outboard position) Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943856,EPI Rear Outboard CV Joint Kit Can-Am 2013-2022,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Can-Am EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943857,EPI Rear Outboard CV Joint Kit Polaris Ranger EV / 500 / 800 2010-2022,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,2,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Polaris Ranger EV / 500 / 800 EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943858,EPI Rear Outboard CV Joint Kit Polaris RZR XP 1000 / XP 4 2014-2017,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,2,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Polaris RZR XP 1000 / XP 4 EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Fitment: 2015-2016 Polaris RZR XP 4 1000 4x4 with build date before 10/19/15 2016 Polaris RZR XP 4 1000 High Lifter Edition 4x4 with build date after 10/20/15 2016 Polaris RZR XP 4 1000 High Lifter Edition 4x4 with build date before 10/19/15 Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943859,EPI Rear Outboard CV Joint Kit Can-Am Commander / Outlander / Renegade 2008-2012,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Can-Am Commander / Outlander / Renegade EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Fitment: Only fits 2008 models with 10mm CV boot band width Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943860,EPI Rear Outboard CV Joint Kit Polaris Ranger / RZR / Sportsman 2011-2017,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Polaris Ranger / RZR / Sportsman EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Fitment: Fits 2017 Polaris Sportsman 450 HO EPS models with a build date after 8/29/16 Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943861,EPI Rear Outboard CV Joint Kit Polaris Scrambler / Sportsman 2010-2022,EPI Performance,,Parts/Motorcycle Parts/Drive & Transmission,,59.99,1,"EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. ","EPI Rear Outboard CV Joint Kit Polaris Scrambler / Sportsman EPI replacement CV Joint Kits pack a high quality, OE-spec CV joint and required installation hardware into a machine-specific package for quick, easy drivetrain maintenance. Kits include one carefully engineered CV joint, a tough polychloroprene CV boot, no-crimp boot clamps and molybdenum grease. Kits are designed to keep your side by side, ATV or UTV running at its peak while friction and vibration are kept to a minimum. Features: OEM quality CV joint (1) Fits outboard position on rear left or rear right drive axles Super tough polychloroprene boot construction Molybdenum (MOs2) disulfide grease for extended service intervals Easy to install inner and outer no-crimp clamps Sold each Note: Image for reference only."
943864,Zeta Forged Shift Lever KTM 125 SX  / 150 SX / 150 XC-W 2017-2020,Zeta,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Parts/Motorcycle Parts/Foot Controls,,31.95,1,,Zeta Forged Shift Lever KTM 125 SX / 150 SX / 150 XC-W Upgrade the functionality and durability your shift lever with a Forged Shift Lever from Zeta. Features: Shift arm is made of A2014 forged aluminum for durability Black anodized finish on shift arm for a smooth look Foldable shift tip is made of CNC aluminum with a knurled finish for better shift grip Shift tip is color anodized with a laser printed Zeta logo
943867,"BBR Motorsports 7/8"" MX Handlebar",BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Controls,Dirt/Dirt Parts/Dirt Handlebars & Controls (ALL),,79.95,2,"Developed by BBR engineers, the makers of all things pitbikes, using 2014 T6 aluminum making this one of the strongest bars on the market. Shape has been developed and tested to be the perfect fit for MX style riding. Perfect for adult riders on KLX 110 and TTR110 bikes along with many others.","BBR Motorsports 7/8"" MX Handlebar Developed by BBR engineers, the makers of all things pitbikes, using 2014 T6 aluminum making this one of the strongest bars on the market. Shape has been developed and tested to be the perfect fit for MX style riding. Perfect for adult riders on KLX 110 and TTR110 bikes along with many others. Features: 2014 T6 aluminum construction MX mid-height bar, comparable to a ""110 bend"" from other brands Knurled 100mm grip area Standard 7/8"" mount Direct replacement for BBR 110 tall handlebar kits Includes BBR bar pad Product A (mm) B (mm) C (mm) D (mm) E (mm) F (mm) BBR MX Bend 722 176 143 105 34 151"
943877,BBR Motorsports Free-Flow Filter Kit Yamaha TTR125 / L / E / LE 2000-2022,BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Fuel Systems,Parts/Motorcycle Parts,,99.95,1,,"BBR Motorsports Free-Flow Filter Kit Yamaha TTR125 / TTR123E / TTR125L / TTR125LE Let your TTR breathe with this high performance, high flow filter element and base from BBR Motorsports. Features: Replaces stock filter and base 3 times larger than the stock filter Adds up to 1/2 horsepower with proper jetting"
943879,BBR Motorsports U-Flow Replacement Air Filter,BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Fuel Systems,Parts/Motorcycle Parts,,29.95,1,,BBR Motorsports U-Flow Replacement Air Filter Replacement UNI Air Filter for BBR U-Flow Air Filter Kits Note: Will only fit BBR U-Flow kits.
943880,BBR Motorsports Air Filter Kit Kawasaki KLX110 / Suzuki DR-Z110 2002-2022,BBR Motorsports,Vehicles & Parts / Vehicle Parts & Accessories / Motor Vehicle Parts / Motor Vehicle Fuel Systems,Parts/Motorcycle Parts,,59.95,1,The BBR Air Filter Kit removes the stock airbox and replaces it with a high flow UNI air filter - a must have for any performance KLX110 engine. ,BBR Motorsports Air Filter Kit Kawasaki KLX110 / Suzuki DR-Z110 The BBR Air Filter Kit removes the stock airbox and replaces it with a high flow UNI air filter - a must have for any performance KLX110 engine. Features: UNI branded filter fits stock and Mikuni VM26 carburetors Includes airbox removal bracket to support the shroud Replacement filters available (BBR Part # 430-KLX-1106) Note: Rejetting recommended.
